60,Men,Mitchell-Blake,Nethaneel,LSU,6.65,6.65,15,https://www.tfrrs.org/athletes/4197086/LSU/Mitchell-Blake_Nethaneel
60,Men,Flowers,Darrion,TCU,6.74,6.74,67,https://www.tfrrs.org/athletes/5577427/TCU/Flowers_Darrion
60,Men,Akosa,Carrington,Princeton,6.73,6.73,57,https://www.tfrrs.org/athletes/5109366/Princeton/Akosa_Carrington
60,Men,King,Kyree,Oregon,6.62,6.57,11,https://www.tfrrs.org/athletes/6100998/Oregon/King_Kyree
60,Men,Saucer,Vinnie,Iowa,6.74,6.70,67,https://www.tfrrs.org/athletes/4671133/Iowa/Saucer_Vinnie
60,Men,Burke,Mario,Houston,6.59,6.59,3,https://www.tfrrs.org/athletes/5596167/Houston/Burke_Mario
60,Men,Tsumba,Tatenda,BYU,6.74,6.74,67,https://www.tfrrs.org/athletes/5161451/BYU/Tsumba_Tatenda
60,Men,Quinn,Devin,Illinois,6.73,6.73,57,https://www.tfrrs.org/athletes/5637238/Illinois/Quinn_Devin
60,Men,Brissett,Christian,Iowa,6.74,6.74,67,https://www.tfrrs.org/athletes/5575046/Iowa/Brissett_Christian 
60,Men,Williams,Kendal,Georgia,6.51,6.51,1,https://www.tfrrs.org/athletes/6121274/Georgia/Williams_Kendal
60,Men,Timpson, Michael,Florida,6.66,6.66,20,https://www.tfrrs.org/athletes/5651815/Florida/Timpson_Jr_Michael
60,Men,Simpson,Damarcus,Oregon,6.66,6.66,29,https://www.tfrrs.org/athletes/6101000/Oregon/Simpson_Damarcus
60,Men,Charles,Jordan,Minnesota,6.68,6.68,29,https://www.tfrrs.org/athletes/4666582/Minnesota/Charles_Jordan
60,Men,Ferguson,Emeilo,TCU,6.66,6.66,20,https://www.tfrrs.org/athletes/6099170/TCU/Ferguson_Emeilo 
60,Men,Coleman,Christian,Tennessee,6.51,6.45,1,https://www.tfrrs.org/athletes/5113312/Tennessee/Coleman_Christian 
60,Men,Morris,Julius,Western Kentucky,6.74,6.74,67,https://www.tfrrs.org/athletes/5106959/Western_Kentucky/Morris_Julius
60,Men,Boey,Johnathan,Eastern Illinois,6.74,6.71,67,https://www.tfrrs.org/athletes/4626558/Eastern_Illinois/Boey_Johnathan
